Product code,Station number,Year,Month,Monthly mean daily global solar exposure (MJ/m*m)
IDCJAC0003,32040,2013,11,21.8
IDCJAC0003,32040,2013,12,27.4
IDCJAC0003,32040,2014,01,22.1
IDCJAC0003,32040,2014,02,19.9
IDCJAC0003,32040,2014,03,18.9
IDCJAC0003,32040,2014,04,17.8
IDCJAC0003,32040,2014,05,16.6
IDCJAC0003,32040,2014,06,14.3
IDCJAC0003,32040,2014,07,17.3
IDCJAC0003,32040,2014,08,19.3
IDCJAC0003,32040,2014,09,22.6
IDCJAC0003,32040,2014,10,25.8
IDCJAC0003,32040,2014,11,26.5
IDCJAC0003,32040,2014,12,25.9
IDCJAC0003,32040,2015,01,21.9
IDCJAC0003,32040,2015,02,22.7
IDCJAC0003,32040,2015,03,22.6
IDCJAC0003,32040,2015,04,20.4
IDCJAC0003,32040,2015,05,17.5
IDCJAC0003,32040,2015,06,14.3
IDCJAC0003,32040,2015,07,16.8
IDCJAC0003,32040,2015,08,19.9
IDCJAC0003,32040,2015,09,23.1
IDCJAC0003,32040,2015,10,24.5
IDCJAC0003,32040,2015,11,25.8
IDCJAC0003,32040,2015,12,25.3
IDCJAC0003,32040,2016,01,24.1
IDCJAC0003,32040,2016,02,23.4
IDCJAC0003,32040,2016,03,18.6
IDCJAC0003,32040,2016,04,19.7
IDCJAC0003,32040,2016,05,16.5
IDCJAC0003,32040,2016,06,15.5
IDCJAC0003,32040,2016,07,16.4
IDCJAC0003,32040,2016,08,18.9
IDCJAC0003,32040,2016,09,21.4
IDCJAC0003,32040,2016,10,25.3
IDCJAC0003,32040,2016,11,27.6
IDCJAC0003,32040,2016,12,26.2
IDCJAC0003,32040,2017,01,23.7
IDCJAC0003,32040,2017,02,25.1
IDCJAC0003,32040,2017,03,20.9
IDCJAC0003,32040,2017,04,20.1
IDCJAC0003,32040,2017,05,16.5
IDCJAC0003,32040,2017,06,15.7
IDCJAC0003,32040,2017,07,17.0
IDCJAC0003,32040,2017,08,20.0
IDCJAC0003,32040,2017,09,22.9
IDCJAC0003,32040,2017,10,22.8
IDCJAC0003,32040,2017,11,25.9
IDCJAC0003,32040,2017,12,28.7
IDCJAC0003,32040,2018,01,23.7
IDCJAC0003,32040,2018,02,22.4
IDCJAC0003,32040,2018,03,19.5
IDCJAC0003,32040,2018,04,19.3
IDCJAC0003,32040,2018,05,17.0
IDCJAC0003,32040,2018,06,16.0
IDCJAC0003,32040,2018,07,17.5
IDCJAC0003,32040,2018,08,20.3
IDCJAC0003,32040,2018,09,23.4
IDCJAC0003,32040,2018,10,25.6
IDCJAC0003,32040,2018,11,27.5
IDCJAC0003,32040,2018,12,22.4
IDCJAC0003,32040,2019,01,21.8
IDCJAC0003,32040,2019,02,21.7
IDCJAC0003,32040,2019,03,19.8
IDCJAC0003,32040,2019,04,19.5
IDCJAC0003,32040,2019,05,15.7
IDCJAC0003,32040,2019,06,15.7
IDCJAC0003,32040,2019,07,16.6
IDCJAC0003,32040,2019,08,20.0
IDCJAC0003,32040,2019,09,23.7
IDCJAC0003,32040,2019,10,25.6
IDCJAC0003,32040,2019,11,28.2
IDCJAC0003,32040,2019,12,28.3
IDCJAC0003,32040,2020,01,25.4
IDCJAC0003,32040,2020,02,24.6
IDCJAC0003,32040,2020,03,21.6
IDCJAC0003,32040,2020,04,20.6
IDCJAC0003,32040,2020,05,16.3
IDCJAC0003,32040,2020,06,15.9
IDCJAC0003,32040,2020,07,16.5
IDCJAC0003,32040,2020,08,19.9
IDCJAC0003,32040,2020,09,22.3
IDCJAC0003,32040,2020,10,26.3
