Category,Element,Residential Count,Business Count,Mixed Count,Residential Energy Consumption (kWh),Business Energy Consumption (kWh),No Controlled Load Count,Tariff 9000 Count,Tariff 9100 Count,Tariff 9000 and 9100 Count,Unit Count,Solar PV Count,Solar PV Installed Capacity,Count of Pools,Property Age <1980,Property Age 1980 to 1989,Property Age 1990 to 1999,Property Age >2000,Residential Quintile - Lowest,Residential Quintile - Low,Residential Quintile - Medium,Residential Quintile - High,Residential Quintile - Highest,Business Quintile - Lowest,Business Quintile - Low,Business Quintile - Medium,Business Quintile - High,Business Quintile - Highest
Postcode,4153,1612,36,3,11275393.73,941104.5674,482,315,692,20,178,631,2724.23,458,435,265,508,443,152,248,339,396,480,10,5,10,7,7
Postcode,4154,3674,132,0,26979465.16,9279907.689,2220,443,813,32,528,1589,7167.96,902,300,101,266,3139,315,507,716,885,1251,20,23,18,34,37
Postcode,4155,521,96,5,5901151.894,9192371.489,256,76,173,4,33,245,1680.382,262,301,68,115,138,52,35,66,68,305,22,17,23,20,19
Postcode,4156,1112,40,3,9184312.019,2112229.383,491,214,291,34,111,544,2613.66,446,245,96,410,404,95,122,195,263,440,9,7,3,10,14
Postcode,4157,7557,1438,9,47219856.08,77916770.78,2010,1202,3607,105,2529,2967,12887.72,2078,1864,2808,2513,1817,1077,1330,1550,1721,1888,242,339,361,304,201
Postcode,4158,1626,87,1,8249315.555,3483976.338,831,145,568,6,624,445,1614.73,210,402,381,572,359,302,423,363,303,236,28,20,17,12,11
Postcode,4159,5501,188,2,33218012.5,10900238.3,1627,1221,2160,112,890,2349,9313.89,1586,1207,1149,1756,1579,786,1026,1110,1270,1311,40,27,42,36,45
Postcode,4160,7363,345,1,45775781.54,17744620.16,2617,1501,2628,165,1491,2971,11601.16,2192,1046,1060,2629,2971,1076,1300,1392,1722,1874,70,62,78,65,71
Postcode,4161,6264,94,0,37583203.04,12282222.53,1319,1223,3087,85,542,2542,10172.26,1838,1404,2933,1524,497,790,1078,1390,1593,1413,16,12,16,20,30
Postcode,4163,7360,919,4,40408126.58,53434411.11,2507,1313,3124,100,3371,1980,8985.51,1667,1188,2036,2460,2599,1728,1519,1400,1274,1443,179,218,200,180,146
Postcode,4164,6310,132,10,41933577.46,10196103.92,3360,990,1518,94,608,2533,11062.554,1705,625,980,824,4022,830,1032,1160,1426,1872,35,22,25,32,28
Postcode,4165,14554,549,17,89838570.42,63121981.26,6221,2821,4329,218,1693,6149,24713.96,3387,1398,2019,3834,7869,1964,2651,2966,3323,3667,114,106,105,100,141
Postcode,4169,6546,619,3,32583719.98,71385062.17,4668,255,1552,3,4638,483,2672.22,334,2549,630,1615,2373,2190,1599,1181,848,731,108,91,109,152,162
Postcode,4170,11470,954,7,60085628.47,108773093.1,6776,508,3754,14,4886,2008,9686.12,1172,5017,470,1679,5263,2711,2494,2267,2099,1906,185,156,194,187,239
Postcode,4171,7453,493,3,43257505.77,19792161.44,5222,218,1799,13,3351,1320,6755.4,1343,2816,387,1246,3499,1892,1448,1289,1196,1631,73,91,109,124,99
Postcode,4172,1913,715,0,10616277.97,361611470.5,909,188,681,8,934,509,3000.58,204,747,79,204,1598,335,380,422,411,365,83,87,127,210,208
Postcode,4173,3271,497,0,16951381.14,49063471.4,1581,472,1065,18,980,1153,5208.84,483,964,450,1512,841,600,785,723,663,500,64,106,96,126,105
Postcode,4174,1028,338,6,5900468.643,66724772.28,322,177,474,3,252,379,2239.94,110,339,68,352,613,137,212,217,277,191,63,51,59,69,102
Postcode,4178,11135,1066,6,54526846.11,401146149.9,5024,1040,4614,39,3233,3004,12448.37,1360,5370,1007,1906,3924,2769,2450,2248,2154,1520,196,202,187,203,284
Postcode,4179,7906,296,2,42330862.84,21203440.21,3685,740,3116,60,1638,2493,10133.49,1506,3803,546,1429,2426,1619,1672,1651,1588,1378,52,49,60,61,76
Postcode,4183,2008,213,5,8206940.177,68384476.02,972,228,783,4,586,406,1630.37,31,755,439,575,457,687,519,408,243,156,52,44,34,37,51
Postcode,4184,5424,193,1,18768822.04,4059311.868,3194,680,1428,6,98,1773,6107.86,132,277,1077,1324,2937,2343,1299,914,531,338,69,37,36,31,21
Postcode,4205,2371,148,1,11801277.43,9275831.969,940,246,1040,5,957,905,3652.55,327,263,961,580,716,653,478,423,436,382,39,24,37,22,27
Postcode,4207,24821,2926,39,143931773.1,308087376.3,13516,2905,7060,153,6140,7746,40170.339,3469,3535,5771,5908,12569,4493,4634,5028,5296,5409,546,597,626,581,615
Postcode,4208,7841,765,12,50637270.7,60346543.49,4859,1010,1481,71,1224,3232,15300.82,1459,228,398,1406,6586,920,1220,1617,1970,2126,139,193,159,143,143
Postcode,4209,23952,1162,9,140157509.9,101581410,19139,1336,2337,65,5622,5944,31220.749,2333,266,635,1587,22633,3672,4320,5199,5625,5145,234,236,219,222,260
Postcode,4210,7774,403,9,52684542.61,39996100.32,4098,947,2233,94,1469,3319,15675.21,1895,199,664,2610,4713,832,1224,1551,1874,2302,68,76,95,84,89
Postcode,4211,22793,1992,17,148980169.3,115807939.3,11511,3900,5883,332,7289,8336,37584.21,5810,1802,5985,6639,10376,2725,3826,4652,5413,6194,372,428,459,387,363
Postcode,4212,12684,1063,3,95122378.14,86541710.03,6940,1865,2936,251,3279,4639,22662.849,4938,403,2233,4032,7080,1639,1722,2078,2781,4467,203,229,248,185,201
Postcode,4213,10632,609,17,81897525.94,25263590.33,4448,2146,3156,225,1985,4441,19986.47,3874,899,2799,4614,2945,867,1294,1870,2577,4041,126,145,133,129,93
Postcode,4214,13748,2927,10,91740290.15,107754964.2,5559,2345,4743,307,5118,5256,25117.12,4709,1809,4123,6056,4689,1490,2130,2691,3388,4059,627,705,670,538,397
Postcode,4215,24009,3016,10,115295215.2,288475176.4,16540,1373,5647,53,19120,2841,13624.14,1695,7437,4605,6025,8967,6473,6274,5067,3583,2622,646,729,588,569,494
